OccMain,OccSub,OccMid,OccMinor,1985,1990,1995,2000,2005,MainTitle,MidTitle,MinorTitle
I,13,158,1255,1985232,1990282,1995282,2000281,2005262,,,Pipe laying workers
I,13,158,1256,1985233,1990283,1995283,2000282,2005263,,,Tatami workers
I,13,158,1257,1985234,1990284,1995284,2000283,2005264,,,Civil engineering workers
I,13,158,1258,1985235,1990285,1995285,2000284,2005265,,,Railway line construction workers
I,13,158,1259,1985236,1990286,1995286,2000285,2005266,,,Other construction workers
I,13,159,1260,1985262,1990287,1995287,2000286,2005267,,TRANSPORT LABOR WORKERS,Onboad and quayside cargo handlers
I,13,159,1261,1985263,1990288,1995288,2000287,2005268,,,Land-based cargo handling and transport workers
I,13,159,1262,1985264,1990289,1995289,2000288,2005269,,,Warehouse workers
I,13,159,1263,1985265,1990290,1995290,2000289,2005270,,,Delivery workers
I,13,159,1264,1985266,1990291,1995291,2000290,2005271,,,Packing workers
I,13,160,1265,1985267,1990292,1995292,2000291,2005272,,OTHER LABOR WORKERS,Cleaners
I,13,160,1266,1985268,1990293,1995293,2000292,2005273,,,Labor workers not classified elsewhere
J,10,161,1267,1985293,1990294,1995294,2000293,2005274,WORKERS NOT CLASSIFIABLE BY OCCUPATION,WORKERS NOT CLASSIFIABLE BY OCCUPATION,Workers not classifiable by occupation
